question_id,medium,subject,class_level,chapter,topic,subtopic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation
APSGT-TEL-HQ-0001,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,గుణసంధి,Easy,MCQ,'సూర్యోదయం' అనే పదాన్ని సరిగ్గా విడదీసిన రూపం ఏది?,సూర్యో + దయం,సూర్య + ఉదయం,సూర్య + ఓదయం,సూర్యుడు + ఉదయం,B,'సూర్య' చివరి 'అ'కారానికి 'ఉదయం' మొదటి 'ఉ'కారం చేరగా 'ఓ' ఏర్పడింది. అ + ఉ = ఓ అనేది గుణసంధి సూత్రం.
APSGT-TEL-HQ-0002,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,సవర్ణదీర్ఘ సంధి,Medium,MCQ,'రామాలయం' అనే పదంలో ఏర్పడిన సంధి ఏది?,వృద్ధి సంధి,గుణసంధి,యణాదేశ సంధి,సవర్ణదీర్ఘ సంధి,D,"రామ + ఆలయం = రామాలయం. సవర్ణాలైన 'అ', 'ఆ' కలిసి దీర్ఘం 'ఆ' కావడాన్ని సవర్ణదీర్ఘ సంధి అంటారు."
APSGT-TEL-HQ-0003,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,గుణసంధి,Medium,MCQ,'దేవేంద్రుడు' పదాన్ని విడదీసినప్పుడు వచ్చే సరైన రూపం ఏది?,దేవే + ఇంద్రుడు,దేవ + ఇంద్రుడు,దేవా + ఇంద్రుడు,దేవుడు + ఇంద్రుడు,B,దేవ + ఇంద్రుడు = దేవేంద్రుడు. అ + ఇ = ఏ అనే గుణసంధి సూత్రం ప్రకారం 'ఏ' ఏర్పడింది.
APSGT-TEL-HQ-0004,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,యణాదేశ సంధి,Hard,Analysis,'అత్యంత' అనే పదంలో ఏర్పడిన సంధి ఏది?,వృద్ధి సంధి,సవర్ణదీర్ఘ సంధి,గుణసంధి,యణాదేశ సంధి,D,అతి + అంత = అత్యంత. 'ఇ'కారానికి అసవర్ణ అచ్చు పరమైనప్పుడు 'య్' ఆదేశంగా రావడాన్ని యణాదేశ సంధి అంటారు.
APSGT-TEL-HQ-0005,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,వృద్ధి సంధి,Hard,MCQ,'ఏకైక' అనే పదంలో ఏర్పడిన సంధి ఏది?,యణాదేశ సంధి,సవర్ణదీర్ఘ సంధి,వృద్ధి సంధి,గుణసంధి,C,ఏక + ఏక = ఏకైక. అ + ఏ = ఐ అనే మార్పు వృద్ధి సంధికి ఉదాహరణ.
APSGT-TEL-HQ-0006,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,గుణసంధి,Hard,MCQ,'మహర్షి' అనే పదాన్ని విడదీసిన సరైన రూపం ఏది?,మహా + రుషి,మహ + ఋషి,మహా + ఋషి,మహర్ + ఋషి,C,మహా + ఋషి = మహర్షి. ఆ + ఋ కలిసినప్పుడు 'అర్' ఏర్పడటం గుణసంధిలోని ఒక రూపం.
APSGT-TEL-HQ-0007,Telugu,Telugu,Class 8,వ్యాకరణం,సంధులు,సవర్ణదీర్ఘ సంధి,Easy,MCQ,'విద్యార్థి' అనే పదాన్ని విడదీస్తే వచ్చే రూపం ఏది?,విద్యార్ + థి,విద్యా + ఆర్థి,విద్యా + అర్థి,విద్య + అర్థి,C,విద్యా + అర్థి = విద్యార్థి. ఆ + అ అనే సవర్ణ అచ్చులు కలిసి దీర్ఘం 'ఆ' అయింది.
APSGT-TEL-HQ-0008,Telugu,Telugu,SGT,వ్యాకరణం,సంధులు,యణాదేశ సంధి,Hard,Analysis,'మన్వంతరం' అనే పదంలో 'ఉ'కారం దేనిగా మారింది?,ల్,వ్,య్,ర్,B,మను + అంతరం = మన్వంతరం. 'ఉ'కారానికి అసవర్ణ అచ్చు పరమైనప్పుడు 'వ్' ఆదేశంగా వస్తుంది. ఇది యణాదేశ సంధి.
APSGT-TEL-HQ-0009,Telugu,Telugu,SGT,వ్యాకరణం,సమాసాలు,ద్వంద్వ సమాసం,Easy,MCQ,'తల్లిదండ్రులు' అనే పదం ఏ సమాసానికి చెందుతుంది?,ద్వంద్వ సమాసం,కర్మధారయ సమాసం,బహువ్రీహి సమాసం,ద్విగు సమాసం,A,"'తల్లి', 'దండ్రి' అనే రెండు పదాలకూ సమాన ప్రాధాన్యం ఉంది. ఉభయ పదార్థ ప్రధానమైన సమాసం ద్వంద్వ సమాసం."
APSGT-TEL-HQ-0010,Telugu,Telugu,SGT,వ్యాకరణం,సమాసాలు,తత్పురుష సమాసం,Medium,MCQ,'రాజపుత్రుడు' అనే పదానికి సరైన విగ్రహవాక్యం ఏది?,రాజు అనే పుత్రుడు,రాజు వంటి పుత్రుడు,రాజు యొక్క పుత్రుడు,రాజు మరియు పుత్రుడు,C,'రాజు యొక్క పుత్రుడు' అని విగ్రహవాక్యం. షష్ఠీ విభక్తి అర్థం లోపించడం వల్ల ఇది షష్ఠీ తత్పురుష సమాసం.
